apt_detail_id,apt_id,road_address,jibun_address,zip_code,code_sale_nm,code_heat_nm,total_household_cnt,total_building_cnt,highest_floor,use_approval_date,total_parking_cnt,builder_name,developer_name,manage_type,hallway_type,subway_time,subway_line,subway_station,educationfacility,geometry,created_at,updated_at,is_deleted
3016,3017,서울특별시 송파구 올림픽로 212,서울특별시 송파구 잠실동 40 갤러리아팰리스,05553,분양,지역난방,741,3,46,2005-01-11,1427,"삼성물산,한화건설",한화건설,위탁관리,혼합식,5분이내,"2호선, 8호선",잠실,초등학교(잠전초등) 중학교(잠신중학) 고등학교(영동여고),,,,f
3017,3018,서울특별시 송파구 올림픽로4길 15,서울특별시 송파구 잠실동 86 잠실아시아선수촌,05572,분양,지역난방,1356,18,18,1986-06-14,720,"신성, 우성건설",서울특별시,위탁관리,계단식,5분이내,"2호선, 9호선",종합운동장역,초등학교(아주초등) 중학교(아주중교) 고등학교(정신여고),,,,f
3068,3068,서울특별시 송파구 송파대로 345,서울특별시 송파구 가락동 479 헬리오시티아파트,05698,혼합,지역난방,9510,84,35,2018-12-28,12096,"현대건설,삼성물산,현대산업개발",가락시영아파트주택재건축정비사업조합,위탁관리,혼합식,5분이내,"3호선, 8호선, 9호선",송파역,초등학교() 중학교() 고등학교(),,,,f
3069,3069,서울특별시 송파구 오금로 370,서울특별시 송파구 가락동 161-2 가락현대5차,05819,분양,기타,210,3,15,1986-12-16,0,현대산업개발,현대시멘트조합주택,위탁관리,복도식,5~10분이내,5호선,오금,초등학교(가주초등학교) 중학교(송파중학교) 고등학교(오금고등학교),,,,f
3070,3070,서울특별시 송파구 송파대로32길 33,서울특별시 송파구 가락동 95 가락동부센트레빌,05709,분양,지역난방,264,5,23,2001-11-26,517,동부건설,동부건설,위탁관리,계단식,10~15분이내,"3호선, 8호선",가락시장역,초등학교(신가) 중학교(석촌) 고등학교(가락),,,,f
3071,3071,서울특별시 송파구 중대로 121,서울특별시 송파구 가락동 79 송파롯데캐슬파인힐,05718,분양,지역난방,102,1,29,2003-12-20,328,롯데건설,롯데건설,위탁관리,계단식,,"1호선, 1호선, 1호선, 1호선, 2호선, 2호선, 3호선, 4호선, 부산-김해경전철, 1호선, 2호선, 3호선, 4호선, 5호선, 6호선, 7호선, 8호선, 9호선, 인천1호선",", , , ,",,,,,f
3072,3072,서울특별시 송파구 송파대로37길 29,서울특별시 송파구 가락동 478 송파동부센트레빌,05698,분양,개별난방,206,4,15,2004-12-15,201,동부건설,동부건설,위탁관리,계단식,5~10분이내,8호선,,초등학교(가락초등학교) 중학교(배명중학교) 고등학교(배명고등학교),,,,f
3020,3020,서울특별시 송파구 백제고분로18길 30,서울특별시 송파구 잠실동 320 잠실우성4차,05580,분양,지역난방,555,7,15,1983-08-31,0,우성건설,우성,위탁관리,혼합식,10~15분이내,"2호선, 9호선",2호선 - 잠실새내(신천)/ 9호선 - 삼전역,초등학교(잠전초등) 중학교(아주중학) 고등학교(정신여고),,,,f
3021,3021,서울특별시 송파구 송파대로 567,서울특별시 송파구 잠실동 27 잠실5단지아파트,05503,분양,지역난방,3930,30,15,1978-04-15,0,LH공사,LH,자치관리,복도식,10~15분이내,"2호선, 8호선",잠실역,초등학교(신천초등) 중학교(잠신중학) 고등학교(잠신고등),,,,f
3022,3022,서울특별시 송파구 백제고분로18길 7,서울특별시 송파구 잠실동 331 잠실현대,05577,분양,지역난방,336,3,15,1990-08-17,0,현대,현대,위탁관리,계단식,10~15분이내,"2호선, 9호선",신천,초등학교(잠전초등) 중학교(아주중학) 고등학교(정신여고),,,,f
3023,3023,서울특별시 송파구 올림픽로 293-19,서울특별시 송파구 신천동 7-28 현대타워아파트,05510,분양,개별난방,55,1,30,1996-12-30,207,현대건설,모름,위탁관리,계단식,5~10분이내,"2호선, 8호선",,중학교(),,,,f
3024,3024,서울특별시 송파구 올림픽로35길 93,서울특별시 송파구 신천동 11-8 포스코더샵스타리버,05510,분양,개별난방,189,2,39,2006-09-29,515,포스코,프리즘,자치관리,계단식,5분이내,"2호선, 8호선",성내,초등학교(잠동초등) 중학교(잠실중학) 고등학교(잠실고등),,,,f
3025,3025,서울특별시 송파구 올림픽로35가길 10,서울특별시 송파구 신천동 7-14 잠실더샵스타파크,05510,분양,개별난방,213,3,39,2008-09-12,587,포스코건설,포스코건설,자치관리,계단식,5분이내,"2호선, 8호선",잠실,초등학교(잠동초교) 중학교(잠실중교) 고등학교(잠실고등),,,,f
3026,3026,서울특별시 송파구 올림픽로35가길 11,서울특별시 송파구 신천동 11-9 한신코아,05510,분양,중앙난방,493,1,15,1988-12-30,448,한신공영,한신공영,위탁관리,복도식,5~10분이내,"2호선, 8호선",,초등학교(잠동초등) 중학교(잠실중학) 고등학교(잠실고등),,,,f
3027,3027,서울특별시 송파구 올림픽로35길 104,서울특별시 송파구 신천동 11 신천장미1차2차,05504,분양,지역난방,3402,31,14,1979-01-24,0,라이프주택개발,라이프주택개발,자치관리,혼합식,5분이내,2호선,신천,,,,,f
3028,3028,서울특별시 송파구 올림픽로 435,서울특별시 송파구 신천동 17 잠실파크리오,05507,분양,지역난방,6864,66,36,2008-08-29,9486,6개 시공사,"두산,쌍용,삼성,대림,코오롱,현대",위탁관리,계단식,5분이내,"2호선, 8호선",성내,초등학교(잠실초교) 고등학교(잠실고교),,,,f
3029,3029,서울특별시 송파구 올림픽로 269,서울특별시 송파구 신천동 7-18 롯데캐슬골드,05510,분양,중앙난방,400,2,36,2005-11-22,1524,롯데건설,롯데쇼핑,위탁관리,복도식,5분이내,"2호선, 8호선",잠실,초등학교(잠동초등) 중학교(잠실중학) 고등학교(잠실고등),,,,f
3030,3030,서울특별시 송파구 올림픽로35가길 9,서울특별시 송파구 신천동 11-4 잠실푸르지오월드마크,05510,분양,지역난방,288,2,39,2013-06-19,502,주)대우건설,잠실프로젝트금융투자(주),자치관리,기타,5~10분이내,"2호선, 8호선",잠실,"초등학교(잠동초,잠실초) 중학교(잠실중) 고등학교(잠실고)",,,,f
3031,3031,서울특별시 송파구 올림픽로35길 94,서울특별시 송파구 신천동 11 장미3차,05504,분양,개별난방,120,2,12,1984-08-17,0,라이프 주택개발,라이프 주택개발,자치관리,계단식,5분이내,2호선,잠실나루역,,,,,f
3032,3032,서울특별시 송파구 풍성로14길 19,서울특별시 송파구 풍납동 251-2 풍납현대사원아파트,,분양,개별난방,132,1,1,1986-07-31,,현대산업개발,현대산업개발,위탁관리,복도식,,,,,,,,f
3033,3033,서울특별시 송파구 한가람로 414,서울특별시 송파구 풍납동 214-6 풍납 갑을아파트,05525,분양,개별난방,85,1,14,1996-07-22,82,갑을건설,갑을건설,자치관리,혼합식,10~15분이내,"5호선, 8호선","천호역, 강동구청역",초등학교(),,,,f
3034,3034,서울특별시 송파구 풍성로15길 10,서울특별시 송파구 풍납동 172 (풍납)대동아파트,05522,분양,개별난방,93,1,11,1999-01-12,82,대동,주민재건축조합,위탁관리,복도식,5~10분이내,8호선,,초등학교(풍납초등학교),,,,f
3035,3035,서울특별시 송파구 올림픽로43길 34,서울특별시 송파구 풍납동 388-7 잠실올림픽공원아이파크,05506,분양,지역난방,697,7,35,2019-11-14,941,현대산업개발,풍남우성아파트주택재건축정비사업조합,위탁관리,계단식,5~10분이내,"2호선, 8호선",,초등학교() 중학교(),,,,f
3036,3036,서울특별시 송파구 풍성로 52,서울특별시 송파구 풍납동 163 풍납대아아파트,05528,분양,개별난방,140,1,13,1998-03-12,137,대아건설,대아건설,위탁관리,혼합식,5~10분이내,,,,,,,f
